,user,date,text,location,coordinates
0,NBCNightlyNews,Mon Aug 09 23:15:00 +0000 2021,"WATCH: In an exclusive interview with @LesterHoltNBC, United Airlines CEO Scott Kirby says the decision to mandate… https://t.co/Dtk2oLGZGW",New York,
1,CNBC,Mon Aug 09 15:19:16 +0000 2021,"More than a dozen large U.S. corporations, including Walmart, Google, Tyson Foods and United Airlines, have recentl… https://t.co/rtlU1U5dfm","Englewood Cliffs, NJ",
2,alfonslopeztena,Mon Aug 09 15:24:51 +0000 2021,"Covid vaccine mandates sweep across corporate America— More than a dozen large corporations, including Walmart, Goo… https://t.co/JshIiZl8uY",Catalonia,
3,scottki71016421,Tue Aug 10 00:17:53 +0000 2021,"RT @Jon_Schallert: Hey, @united and @scottki71016421: You've just confirmed that I'm flying on the right airline with your announcement tod…",,
4,oshay0826,Tue Aug 10 00:17:47 +0000 2021,"Thank you @united for mandating vaccines for your employees. As a travel agent, you just became one of my top choice airlines!","Tempe, AZ",
5,MtHoodFinds,Tue Aug 10 00:17:39 +0000 2021,"RT @thewebbix: #Covid vaccine mandates sweep across corporate America 
#GetVaccinatedNow 
More than a dozen large U.S. corporations, includ…",PNW,
6,OnwardWeProceed,Tue Aug 10 00:17:26 +0000 2021,"RT @thewebbix: #Covid vaccine mandates sweep across corporate America 
#GetVaccinatedNow 
More than a dozen large U.S. corporations, includ…",Washington,
7,cynddview,Tue Aug 10 00:16:34 +0000 2021,"RT @thewebbix: #Covid vaccine mandates sweep across corporate America 
#GetVaccinatedNow 
More than a dozen large U.S. corporations, includ…",,
8,jenvargas,Tue Aug 10 00:16:33 +0000 2021,RT @MCO: Forgot your mask? We got you covered. You can find Clean &amp; Safe Travels PPE vending machines available throughout our Main Termina…,"Orlando, FL",
9,cocopo79,Tue Aug 10 00:16:31 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",,
10,laxradar,Tue Aug 10 00:16:02 +0000 2021,"United Airlines flight #UAL1281 spotted at 32,650 feet! https://t.co/LU0vuR3Lsx","Los Angeles, CA",
11,HulkInvesting,Tue Aug 10 00:15:51 +0000 2021,"#HoldTheLine #unitedAIRLINES 
Reminder:  Do NOT FLY United Airlines!  They just mandated the vaccine for their pilo… https://t.co/hoJcfRPmeV",,
12,ezed62,Tue Aug 10 00:13:49 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",United States,
13,LolaOnThePath,Tue Aug 10 00:13:20 +0000 2021,"RT @thewebbix: #Covid vaccine mandates sweep across corporate America 
#GetVaccinatedNow 
More than a dozen large U.S. corporations, includ…",CA,
14,markwhitwam,Tue Aug 10 00:12:56 +0000 2021,"United will require its 67,000 U.S. employees to be vaccinated against Covid-19 this fall, the first major airline… https://t.co/pPMNSPNcTt","Stevensville, Michigan",
15,auntmaggiep,Tue Aug 10 00:12:35 +0000 2021,"RT @thewebbix: #Covid vaccine mandates sweep across corporate America 
#GetVaccinatedNow 
More than a dozen large U.S. corporations, includ…","Kentucky, USA",
16,LindaCarterBiz,Tue Aug 10 00:12:30 +0000 2021,@united airlines has decided to mandate their employees to get the poisonous jabs. I truly hope all employees strik… https://t.co/Ig6JLByunm,"Fernandina Beach, FL",
17,laxradar,Tue Aug 10 00:12:23 +0000 2021,"United Airlines flight #UAL1559 spotted at 28,575 feet! https://t.co/sdt7hm9PtX","Los Angeles, CA",
18,cindyceemerson,Tue Aug 10 00:11:44 +0000 2021,RT @GOPabomination: Well done United Airlines! Your requirement for ALL employees to be vaccinated or face termination of employment is abs…,Minnesota,
19,librarian_ra,Tue Aug 10 00:11:32 +0000 2021,"For the love of the Tulip
https://t.co/4gcaNHKmwc ⬅️
This 1987 United Airlines commercial showcases shots from its… https://t.co/I6riDzstIT",,
20,56blackcat,Tue Aug 10 00:11:32 +0000 2021,"RT @thewebbix: #Covid vaccine mandates sweep across corporate America 
#GetVaccinatedNow 
More than a dozen large U.S. corporations, includ…","Northern Ireland, UK 🇬🇧 ",
21,elligott9999,Tue Aug 10 00:11:29 +0000 2021,@NBCNews Canceling United Mileage Plus Visa and using miles for hotels vs. on @united airlines. This is 100% unacce… https://t.co/sqTuY4pZ5j,,
22,ObolerfanII,Tue Aug 10 00:10:43 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",Northern California,
23,brianskellenger,Tue Aug 10 00:10:39 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…","Boise, ID",
24,laxradar,Tue Aug 10 00:09:41 +0000 2021,"United Airlines flight #UAL482 spotted at 11,400 feet! https://t.co/B4hqZtScrm","Los Angeles, CA",
25,NobodyNews1,Tue Aug 10 00:09:28 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",,
26,American_A_F,Tue Aug 10 00:07:58 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",,
27,markymark757,Tue Aug 10 00:07:46 +0000 2021,Good for United Airlines. https://t.co/W1loehiZ7V,,
28,DonnaYoungDC,Tue Aug 10 00:07:42 +0000 2021,"RT @NBCNightlyNews: WATCH: In an exclusive interview with @LesterHoltNBC, United Airlines CEO Scott Kirby says the decision to mandate Covi…",Washington,
29,ErnestBoehm,Tue Aug 10 00:07:31 +0000 2021,united airlines https://t.co/UiUyuMAY2o,,
30,kellyjo0813,Tue Aug 10 00:07:11 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",,
31,SCHACHTACULAR,Tue Aug 10 00:07:00 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",SF,
32,RayEvan19849476,Tue Aug 10 00:06:58 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",United States,
33,laxradar,Tue Aug 10 00:06:54 +0000 2021,"United Airlines flight #UAL2299 spotted at 22,500 feet! https://t.co/NXTt2caoRS","Los Angeles, CA",
34,En_truh_pee,Tue Aug 10 00:05:56 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",,
35,laxradar,Tue Aug 10 00:05:52 +0000 2021,"United Airlines flight #UAL2146 spotted at 26,850 feet! https://t.co/bHN5GyP4hq","Los Angeles, CA",
36,Darnell,Tue Aug 10 00:05:48 +0000 2021,RT @washingtonpost: United Airlines becomes first carrier to mandate vaccine for U.S.-based employees https://t.co/PMYyCuRKmq,🇺🇸🇸🇳🇬🇼🇸🇱🇱🇷🇳🇬🇮🇱,
37,ClarkAdena,Tue Aug 10 00:05:02 +0000 2021,"RT @Tim_Bousquet: A low-risk potential COVID exposure at Walmart Bayers Lake, and a high-risk potential exposure on United Airlines 8442 /…","Seacoast Towers, Dartmouth, NS",
38,bramha_vishnu,Tue Aug 10 00:04:54 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",,
39,chestnut2171,Tue Aug 10 00:04:34 +0000 2021,USA flying in Africans for free. ✈ 🇺🇸  https://t.co/f2yGxFpT80,"Georgia, USA",
40,Th2Thorpe,Tue Aug 10 00:04:24 +0000 2021,RT @EWTNNewsNightly: United Airlines is the latest company to require employees in the US to be vaccinated against COVID-19. The mandates a…,,
41,MrMikeDuhon,Tue Aug 10 00:03:56 +0000 2021,"Good trend here:
United Becomes The 1st Major U.S. Airline To Require Employees Be Vaccinated https://t.co/9C56sXLfiQ",,
42,GOPabomination,Tue Aug 10 00:03:55 +0000 2021,Well done United Airlines! Your requirement for ALL employees to be vaccinated or face termination of employment is… https://t.co/3WKrBi39SE,"Trinidad, CO",
43,eman_Rup,Tue Aug 10 00:03:43 +0000 2021,"RT @NBCNightlyNews: WATCH: In an exclusive interview with @LesterHoltNBC, United Airlines CEO Scott Kirby says the decision to mandate Covi…","Hershey, PA",
44,laxradar,Tue Aug 10 00:03:36 +0000 2021,"United Airlines flight #UAL1275 spotted at 25,475 feet! https://t.co/o2AfaosL59","Los Angeles, CA",
45,Messe3Christina,Tue Aug 10 00:03:31 +0000 2021,"RT @lesliejosephs: United Airlines will require its 67,000-person U.S. workforce to be vaccinated, the first major U.S. carrier to mandate…","Alexandria, VA",
46,Messe3Christina,Tue Aug 10 00:03:30 +0000 2021,"RT @CNBC: United Airlines will require its 67,000 U.S. employees to get vaccinated, a first for U.S. carriers https://t.co/icDMrAmF5k","Alexandria, VA",
47,Messe3Christina,Tue Aug 10 00:03:28 +0000 2021,"RT @CNBC: JUST IN: United will require its 67,000 U.S. employees to get vaccinated. @Lebeaucarnews reports. https://t.co/k4UxaHFU83 https:/…","Alexandria, VA",
48,above_monroe,Tue Aug 10 00:03:24 +0000 2021,"🇺🇸 UNITED #UAL517: 2.0mi away [59° elevation] @ 17600ft, heading W @ 483mph [United Airlines - #BOEING 767-322]… https://t.co/Ud8zFWTI7Q","New Jersey, USA",
49,johnwayne1,Tue Aug 10 00:02:43 +0000 2021,United Airlines will require staff to be vaccinated https://t.co/WHknkQPfAa,Greater Atlanta Area,
50,tstorm05,Tue Aug 10 00:02:39 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",Texas,
51,Atari_Jones,Tue Aug 10 00:02:07 +0000 2021,"RT @CNBC: United Airlines will require its 67,000 U.S. employees to get vaccinated, a first for U.S. carriers https://t.co/icDMrAmF5k",Everywhere,
52,CharlieLight14,Tue Aug 10 00:00:46 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",BackYard,
53,killacali909,Tue Aug 10 00:00:04 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…","Los Angeles, CA",
54,FredJon41882468,Mon Aug 09 23:58:40 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…",,
55,Tenn1796,Mon Aug 09 23:58:27 +0000 2021,"RT @realjuliasong: BREAKING: United Airlines just issued a mandate for all of its employees - No Jab No Job!

By the fall all employees are…","Tennessee, USA",
56,figmentmented,Mon Aug 09 23:58:19 +0000 2021,"RT @Tim_Bousquet: A low-risk potential COVID exposure at Walmart Bayers Lake, and a high-risk potential exposure on United Airlines 8442 /…","Ontario, Canada",
57,BuzzMcdermott,Mon Aug 09 23:58:10 +0000 2021,Hooray for United airlines in their ruling on vaccines,,
