,user,date,text,location,coordinates
0,Reuters,Mon Aug 16 02:05:11 +0000 2021,United Airlines rerouting some flights to avoid Afghanistan airspace https://t.co/KOwd1OjLli https://t.co/nEJCoxBY1q,Around the world,
1,EricTopol,Mon Aug 16 19:35:56 +0000 2021,"Pretty sharp contrast with the United States, where most airlines won't even require vaccination for their employee… https://t.co/4lhR2HXsLY","La Jolla, CA",
2,Reuters,Mon Aug 16 05:15:05 +0000 2021,United Airlines rerouting some flights to avoid Afghanistan airspace https://t.co/ZG6aTRTU0h https://t.co/jkqdr8ZfAb,Around the world,
3,movimike,Tue Aug 17 00:14:27 +0000 2021,RT @ScottNevins: Looking to book a flight as news about certain airlines requiring vaccines for workers came across my feed. I was deciding…,United States,
4,PerpetualWinger,Tue Aug 17 00:13:38 +0000 2021,"RT @EricTopol: Pretty sharp contrast with the United States, where most airlines won't even require vaccination for their employees. Unable…",Australian Capital Territory,
5,laxradar,Tue Aug 17 00:12:37 +0000 2021,"United Airlines flight #UAL482 spotted at 13,425 feet! https://t.co/B4hqZtScrm","Los Angeles, CA",
6,bdrew73,Tue Aug 17 00:11:01 +0000 2021,@RichWouldBeMe Hot times on United Airlines! 🔥🔥🔥,"East of sun, west of moon",
7,laxradar,Tue Aug 17 00:09:23 +0000 2021,"United Airlines flight #UAL482 spotted at 16,125 feet! https://t.co/B4hqZtScrm","Los Angeles, CA",
8,PeehplesChamp,Tue Aug 17 00:07:43 +0000 2021,RT @ladailynews: 400 gallons of firefighting foam helps test United Airlines’ Technical Operations Center at LAX https://t.co/dcnHIv6R7J ht…,"Los Angeles, CA",
9,drnoahross,Tue Aug 17 00:07:34 +0000 2021,Airlines reroute planes around Afghanistan after Taliban takeover - CNBC https://t.co/jbIlvpjiWC https://t.co/w5B6OTQRiY,"Johannesburg, South Africa",
10,RadAstria,Tue Aug 17 00:06:34 +0000 2021,"RT @EricTopol: Pretty sharp contrast with the United States, where most airlines won't even require vaccination for their employees. Unable…",Hogtown 💙Peg Head☁️ Soul ✊/FL,
11,betharriba369,Tue Aug 17 00:06:33 +0000 2021,"BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinat… https://t.co/hWfyU7fIXe","California, USA",
12,Cecola15,Tue Aug 17 00:06:13 +0000 2021,RT @rcfor52: Welcome aboard Jihadi Airlines. Please relax and enjoy your nonstop flight to the United States. https://t.co/2nlgIs54uy,,
13,AndyVermaut,Tue Aug 17 00:06:06 +0000 2021,Airlines reroute planes around Afghanistan after Taliban takeover - CNBC https://t.co/kZQ4rsvo1l https://t.co/9wo228WRtW,"Diksmuide, België",
14,DonKreuter,Tue Aug 17 00:04:32 +0000 2021,RT @benwakana46: United Airlines CEO has written dozens of letters to the family members of workers who died from COVID. He doesn't want to…,"Mammoth Lakes, CA ",
15,ceobillionaire,Tue Aug 17 00:03:49 +0000 2021,"RT @EricTopol: Pretty sharp contrast with the United States, where most airlines won't even require vaccination for their employees. Unable…","Montréal, Québec",
16,ivdailybulletin,Tue Aug 17 00:03:36 +0000 2021,Video: Watch 400 gallons of firefighting foam test United’s Technical Operations Center at LAX https://t.co/aSXdEOZhfU,"Ontario, CA",
