user,date,text,location,coordinates,filename
ZookZangsten,Wed Aug 11 01:45:01 +0000 2021,RT @SexCounseling: @ElectionWiz Watch United Airlines fold after they have an employee shortage.,"The Great State of #Texas, USA",,2021-08-19 23:36:16.313209_combined.csv
rashaverak_day,Wed Aug 11 01:44:58 +0000 2021,RT @HiImKangarou: Goddamnit. Don't make me side with United Airlines.,Virginia,,2021-08-19 23:36:16.313209_combined.csv
iturraldeycaza,Wed Aug 11 01:44:58 +0000 2021,"BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinat… https://t.co/qqP96vipaT",Guayaquil - Ecuador ,,2021-08-19 23:36:16.313209_combined.csv
CounselorCarol1,Wed Aug 11 01:44:44 +0000 2021,RT @rainperry: This United Airlines thing puts me in mind of the lunch counter sit-ins of the civil rights era. A couple of restaurant owne…,"Lubbock, Texas",,2021-08-19 23:36:16.313209_combined.csv
MarthaLynneOwe1,Wed Aug 11 01:44:27 +0000 2021,RT @TrueFactsStated: Support United Airlines when you have a choice..,Southern Maine,,2021-08-19 23:36:16.313209_combined.csv
MsNycole,Wed Aug 11 01:44:26 +0000 2021,Super disappointed to see @Delta and other airlines not following @United and requiring staff to be vaccinated. Way… https://t.co/KGsv0FwSQS,Los Angeles,,2021-08-19 23:36:16.313209_combined.csv
shoegal1974,Wed Aug 11 01:44:24 +0000 2021,"RT @amalaekpunobi: Well, now I know which airlines to use. The leadership at United Airlines should be ashamed of themselves.",,,2021-08-19 23:36:16.313209_combined.csv
crowe_earl,Wed Aug 11 01:44:09 +0000 2021,"RT @ShaunKraisman: JUST IN: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaki…","Kentucky, USA Fly Over Nation",,2021-08-19 23:36:16.313209_combined.csv
LlynnBarr,Wed Aug 11 01:44:06 +0000 2021,"RT @TeresaFreeThink: BREAKING! 🚨🚨🚨 
(We The Media)
Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to…",,,2021-08-19 23:36:16.313209_combined.csv
10yearsasailor,Wed Aug 11 01:44:05 +0000 2021,@CNN I will fly this airlines over United. We have gone insane with a vaccine that does not keep you from getting or transmitting the virus.,,,2021-08-19 23:36:16.313209_combined.csv
KryglikWMAR,Wed Aug 11 01:43:53 +0000 2021,RT @NathanBomey: Won't get a COVID vaccine? OK. But it might cost you $20 to $50 per paycheck as an insurance surcharge. My story for @USAT…,"Baltimore, Maryland",,2021-08-19 23:36:16.313209_combined.csv
rich__magee,Wed Aug 11 01:43:52 +0000 2021,I’ll certainly be changing my upcoming travel plans to United Airlines. https://t.co/FLbiBmCpbz,,,2021-08-19 23:36:16.313209_combined.csv
vijmn,Wed Aug 11 01:43:51 +0000 2021,"RT @lesliejosephs: Hawaiian Airlines says it will require U.S. staff to be vaccinated against Covid by Nov. 1, the third major airline to i…",Bay Area,,2021-08-19 23:36:16.313209_combined.csv
NinersGal1,Wed Aug 11 01:43:39 +0000 2021,@petemuntean This is why I do not fly any of those airlines and I pay extra to fly @united!  I hope @AlaskaAir follows suit!,,,2021-08-19 23:36:16.313209_combined.csv
pezluvhappyness,Wed Aug 11 01:43:38 +0000 2021,RT @louisvilledad14: United Airlines made a good move for vaccinated workers. I'll pay a little more to be on a safe plane.,earth,,2021-08-19 23:36:16.313209_combined.csv
sparky7u,Wed Aug 11 01:43:37 +0000 2021,"RT @gainesm: @petemuntean Guess I’ll be exclusively flying United Airlines, then.",Dallas suburbs,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 01:43:27 +0000 2021,"United Airlines flight #UAL798 spotted at 3,175 feet! https://t.co/Eituqnizw6","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 02:16:19 +0000 2021,"United Airlines flight #UAL1831 spotted at 1,800 feet! https://t.co/CwGAfCGjML","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
