,user,date,text,location,coordinates
0,iragersh,Tue Jul 13 15:37:36 +0000 2021,"RT @mzjacobson: United Airlines to buy 100, 19-seat electric planes with 400-km range from Sweden's Heart Aerospace

https://t.co/gpeZYbbLl…","New York, USA",
1,DelsignoreDaryl,Tue Jul 13 15:37:28 +0000 2021,"RT @mzjacobson: United Airlines to buy 100, 19-seat electric planes with 400-km range from Sweden's Heart Aerospace

https://t.co/gpeZYbbLl…","Michigan, USA",
2,newsfilterio,Tue Jul 13 15:37:26 +0000 2021,$UAL Argus Research analyst John Staszak downgrades United Airlines Holdings from Buy to Hold.,"New York, NY",
3,bonluslav,Tue Jul 13 15:37:18 +0000 2021,"RT @united: It's electric! ⚡️

Together with @Breakthrough and @MesaAirlines, we're working with @heartaerospace to decarbonize regional ai…",unidentified_b,
4,unlvgrad03,Tue Jul 13 15:37:11 +0000 2021,RT @BoardingArea: United Airlines Invests In 19-Seat Electric Aircraft https://t.co/NpzqXYA9PO via @OneMileataTime https://t.co/DxrWxy5Oj1,"36.079155,-115.031136",
5,BoardingArea,Tue Jul 13 15:37:06 +0000 2021,United Airlines Invests In 19-Seat Electric Aircraft https://t.co/NpzqXYA9PO via @OneMileataTime https://t.co/DxrWxy5Oj1,,
6,ISCOSEU,Tue Jul 13 15:36:55 +0000 2021,"United Airlines to buy 100, 19-seat electric planes from Heart Aerospace | #Sweden https://t.co/3tIPQQz4z4",Sweden,
7,MBershod,Tue Jul 13 15:35:21 +0000 2021,RT @wsvn: Surfside Mayor: American Airlines and United Way working together to fly families of Surfisde collapse victims to and from area a…,S. Florida,
8,andytuit,Tue Jul 13 15:34:53 +0000 2021,"RT @mzjacobson: United Airlines to buy 100, 19-seat electric planes with 400-km range from Sweden's Heart Aerospace

https://t.co/gpeZYbbLl…",Italia,
9,laxradar,Tue Jul 13 15:34:48 +0000 2021,"United Airlines flight #UAL211 spotted at 28,200 feet! https://t.co/vsF8iQogiy","Los Angeles, CA",
10,StephenBright,Tue Jul 13 15:34:45 +0000 2021,RT @wsvn: Surfside Mayor: American Airlines and United Way working together to fly families of Surfisde collapse victims to and from area a…,"Iowa, USA",
11,tlow,Tue Jul 13 15:34:13 +0000 2021,"RT @Reuters: United Airlines to buy 100, 19-seat electric planes from Heart Aerospace https://t.co/3RqMfKTE0L https://t.co/39t0UrSX1G",Cascadia,
12,gonufrio,Tue Jul 13 15:34:06 +0000 2021,"RT @mzjacobson: United Airlines to buy 100, 19-seat electric planes with 400-km range from Sweden's Heart Aerospace

https://t.co/gpeZYbbLl…",Roma,
13,LuisElPilot,Tue Jul 13 15:34:03 +0000 2021,RT @wsvn: Surfside Mayor: American Airlines and United Way working together to fly families of Surfisde collapse victims to and from area a…,Miami Florida,
14,Vivaldi64381144,Tue Jul 13 15:33:48 +0000 2021,"RT @Reuters: United Airlines to buy 100, 19-seat electric planes from Heart Aerospace https://t.co/3RqMfKTE0L https://t.co/39t0UrSX1G",,
15,OneMileataTime,Tue Jul 13 15:33:06 +0000 2021,United Airlines Invests In 19-Seat Electric Aircraft https://t.co/SxOKCF4m2Y https://t.co/ZFOBM3Oa3a,Hopefully traveling!,
16,laxradar,Tue Jul 13 15:33:02 +0000 2021,"United Airlines flight #UAL1977 spotted at 38,000 feet! https://t.co/T6ks6x7MoW","Los Angeles, CA",
17,PierreHnoud,Tue Jul 13 15:32:54 +0000 2021,"RT @Reuters: United Airlines to buy 100, 19-seat electric planes from Heart Aerospace https://t.co/3RqMfKTE0L https://t.co/39t0UrSX1G",Canada,
18,AltemusFrances,Tue Jul 13 15:31:56 +0000 2021,"RT @Reuters: United Airlines to buy 100, 19-seat electric planes from Heart Aerospace https://t.co/3RqMfKTE0L https://t.co/39t0UrSX1G",,
19,BMT8291,Tue Jul 13 15:31:54 +0000 2021,RT @wsvn: Surfside Mayor: American Airlines and United Way working together to fly families of Surfisde collapse victims to and from area a…,"New York, USA",
20,mzjacobson,Tue Jul 13 15:31:47 +0000 2021,"United Airlines to buy 100, 19-seat electric planes with 400-km range from Sweden's Heart Aerospace… https://t.co/7TJlgyGTFJ",Stanford University,
21,laxradar,Tue Jul 13 15:31:44 +0000 2021,United Airlines flight #UAL1990 spotted at 725 feet! https://t.co/LuwMP8cWQv,"Los Angeles, CA",
22,AudreyGarden,Tue Jul 13 15:31:43 +0000 2021,RT @wsvn: Surfside Mayor: American Airlines and United Way working together to fly families of Surfisde collapse victims to and from area a…,,
23,solves,Tue Jul 13 15:30:41 +0000 2021,"United Airlines to buy 100, 19-seat electric planes from Heart Aerospace in Sweden. https://t.co/saZzeJzaMN","Bergen, Norge",
24,eliseaero,Tue Jul 13 15:30:28 +0000 2021,"RT @heartaerospace: Today, @heartaerospace announces a significant milestone! We’ve just raised a Series A round with investments from @uni…",Sverige,
25,Buddham69411289,Tue Jul 13 15:30:05 +0000 2021,"RT @Reuters: United Airlines to buy 100, 19-seat electric planes from Heart Aerospace https://t.co/3RqMfKTE0L https://t.co/39t0UrSX1G",,
26,spennington33,Tue Jul 13 15:29:53 +0000 2021,RT @wsvn: Surfside Mayor: American Airlines and United Way working together to fly families of Surfisde collapse victims to and from area a…,Timnath Colorado,
27,kaitaku33,Tue Jul 13 15:29:20 +0000 2021,"RT @united: It's electric! ⚡️

Together with @Breakthrough and @MesaAirlines, we're working with @heartaerospace to decarbonize regional ai…",Kansai area,
